isogroup283428	GO:0009507;GO:0009570;GO:0009536;GO:0051539;GO:0080041;GO:0051536;GO:0016829;GO:0046872;GO:0010266;GO:0009228;GO:0009229
isogroup218718	GO:0070569
isogroup45613	GO:0005737;GO:0005829;GO:0005759;GO:0005739;GO:0005634;GO:0031071;GO:0042803;GO:0030170;GO:0006534;GO:0018283;GO:0006777
isogroup218953	GO:0003886;GO:0003677;GO:0009307
isogroup269336	GO:0016021;GO:0005741;GO:0004721;GO:0012501
isogroup35073	GO:0005739;GO:0050660;GO:0008762
isogroup115605	GO:0005789;GO:0016021;GO:0043231;GO:0015020;GO:0070980;GO:0071361;GO:0071385;GO:0071378;GO:0071394;GO:0017144;GO:0009813;GO:0052696;GO:0032496
isogroup96902	GO:0005737;GO:0005524;GO:0004674;GO:0004712
isogroup283502	GO:0016597;GO:0046872;GO:0004647;GO:0006564
isogroup198321	GO:0005737;GO:0005634;GO:0046872;GO:0004722;GO:0006470
isogroup114643	GO:0005783;GO:0005788;GO:0005886;GO:0052033;GO:0006457
isogroup47942	GO:0016021;GO:0005886;GO:0005524;GO:0004672
isogroup291144	GO:0005730;GO:0042254
isogroup249353	GO:0005739;GO:0050660;GO:0008137;GO:0043065
isogroup207538	GO:0004176;GO:0008270
isogroup207049	GO:0005739;GO:0016878;GO:0005524;GO:0090409;GO:0006633;GO:0006631;GO:0090410
isogroup343671	GO:0005813;GO:0000777;GO:0000794;GO:0005737;GO:0005829;GO:0045171;GO:0000776;GO:0005874;GO:0030496;GO:0005730;GO:0005634;GO:0043234;GO:0000922;GO:0005524;GO:0046872;GO:0004672;GO:0019903;GO:0004674;GO:0001824;GO:0051301;GO:0051299;GO:0007059;GO:0000086;GO:0051321;GO:0000278;GO:0007067;GO:0000070;GO:1903126;GO:0043392;GO:0046777;GO:0006468;GO:0051988;GO:0007088;GO:0046602;GO:0051225;GO:0090307
isogroup274503	GO:0050660;GO:0017150
isogroup175590	GO:0005789;GO:0000139;GO:0034045;GO:0019003;GO:0005525;GO:0003924;GO:0006914;GO:0006888;GO:0006184;GO:0006886;GO:0032482
isogroup65924	GO:0004252;GO:0070008
isogroup381405	GO:0005509
isogroup119858	GO:0005887;GO:0015173
isogroup217387	GO:0009507;GO:0015935;GO:0019843;GO:0003735;GO:0006412
isogroup352584	GO:0005829;GO:0016020;GO:0005886;GO:0009506;GO:0004372;GO:0030170;GO:0007623;GO:0006544;GO:0006563;GO:0046686;GO:0035999
isogroup114256	GO:0005524;GO:0004515;GO:0009435
isogroup273243	GO:0016021;GO:0007186;GO:0019236
isogroup367780	GO:0009507;GO:0009941;GO:0009706;GO:0009535;GO:0005886;GO:0005773;GO:0016491;GO:0008270
isogroup248391	GO:0000139;GO:0016021;GO:0008375;GO:0006486
isogroup42195	GO:0031307;GO:0005739;GO:0004306;GO:0006646
isogroup331818	GO:0016021;GO:0005622;GO:0005085;GO:0051056;GO:0007264
isogroup263868	GO:0004001;GO:0005524;GO:0016773;GO:0044209
isogroup282771	GO:0005829;GO:0016020;GO:0005634;GO:0016308;GO:0005524;GO:0005975;GO:0006520
